技能ID,职业,技能等级,技能名,描述
ID,FLD1,FLD2,FLD3,FLD4
1,wenzhe,攻击敌方单个目标，造成[ea0016]100%[-]物理伤害，并获得1格怒气,攻击敌方单个目标，造成[ea0016]100%[-]物理伤害，并获得1格怒气,攻击敌方单个目标，造成[ea0016]100%[-]物理伤害，并获得1格怒气
2,攻击敌方单个目标，造成[ea0016]100%[-]物理伤害，并获得1格怒气,攻击敌方单个目标，造成[ea0016]100%[-]物理伤害，并获得1格怒气,攻击敌方单个目标，造成[ea0016]100%[-]物理伤害，并获得1格怒气,攻击敌方单个目标，造成[ea0016]100%[-]物理伤害，并获得1格怒气
3,攻击敌方单个目标，造成[ea0016]100%[-]法术伤害，并获得1格怒气,攻击敌方单个目标，造成[ea0016]100%[-]法术伤害，并获得1格怒气,攻击敌方单个目标，造成[ea0016]100%[-]法术伤害，并获得1格怒气,攻击敌方单个目标，造成[ea0016]100%[-]法术伤害，并获得1格怒气
4,攻击敌方单个目标，造成[ea0016]100%[-]物理伤害，并获得1格怒气,攻击敌方单个目标，造成[ea0016]100%[-]物理伤害，并获得1格怒气,攻击敌方单个目标，造成[ea0016]100%[-]物理伤害，并获得1格怒气,攻击敌方单个目标，造成[ea0016]100%[-]物理伤害，并获得1格怒气
5,攻击敌方单个目标，造成[ea0016]100%[-]法术伤害，并获得1格怒气,攻击敌方单个目标，造成[ea0016]100%[-]法术伤害，并获得1格怒气,攻击敌方单个目标，造成[ea0016]100%[-]法术伤害，并获得1格怒气,攻击敌方单个目标，造成[ea0016]100%[-]法术伤害，并获得1格怒气
6,攻击敌方单个目标，造成[ea0016]100%[-]物理伤害，并获得1格怒气,攻击敌方单个目标，造成[ea0016]100%[-]物理伤害，并获得1格怒气,攻击敌方单个目标，造成[ea0016]100%[-]物理伤害，并获得1格怒气,攻击敌方单个目标，造成[ea0016]100%[-]物理伤害，并获得1格怒气
7,攻击敌方单个目标，造成[ea0016]100%[-]物理伤害，并获得1格怒气,攻击敌方单个目标，造成[ea0016]100%[-]物理伤害，并获得1格怒气,攻击敌方单个目标，造成[ea0016]100%[-]物理伤害，并获得1格怒气,攻击敌方单个目标，造成[ea0016]100%[-]物理伤害，并获得1格怒气
8,[雷震子]攻击敌方单个目标，造成[ea0016]100%[-]法术伤害，并获得1格怒气,[雷震子]攻击敌方单个目标，造成[ea0016]100%[-]法术伤害，并获得1格怒气,[雷震子]攻击敌方单个目标，造成[ea0016]100%[-]法术伤害，并获得1格怒气,[雷震子]攻击敌方单个目标，造成[ea0016]100%[-]法术伤害，并获得1格怒气
9,[姜子牙]攻击敌方单个目标，造成[ea0016]100%[-]法术伤害，并获得1格怒气,[姜子牙]攻击敌方单个目标，造成[ea0016]100%[-]法术伤害，并获得1格怒气,[姜子牙]攻击敌方单个目标，造成[ea0016]100%[-]法术伤害，并获得1格怒气,[姜子牙]攻击敌方单个目标，造成[ea0016]100%[-]法术伤害，并获得1格怒气
10,[托塔天王]攻击敌方单个目标，造成[ea0016]100%[-]法术伤害，并获得1格怒气,[托塔天王]攻击敌方单个目标，造成[ea0016]100%[-]法术伤害，并获得1格怒气,[托塔天王]攻击敌方单个目标，造成[ea0016]100%[-]法术伤害，并获得1格怒气,[托塔天王]攻击敌方单个目标，造成[ea0016]100%[-]法术伤害，并获得1格怒气
